"자치구","행정동","전체세대수","X1인세대","1인세대_2"
"관악구","조원동",10020.75,6015,2117.03282230542
"종로구","종로1.2.3.4가동",5322.25,4176.583333,278.616155305424
"종로구","종로5·6가동",3161.583333,2066.416667,-1831.55051069458
"성북구","종암동",17027,6106.75,2208.78282230542
"노원구","중계1동",9134.666667,1392.5,-2505.46717769458
"노원구","중계2.3동",15502,4662.583333,764.616155305424
"노원구","중계4동",8457.75,2359.833333,-1538.13384469458
"노원구","중계본동",9243.5,2134,-1763.96717769458
"광진구","중곡1동",7819.75,3602.083333,-295.883844694576
"광진구","중곡2동",10225.41667,4228.833333,330.866155305424
"광진구","중곡3동",8430.916667,3755.166667,-142.800510694576
"광진구","중곡4동",13175.83333,4680,782.032822305424
"중구","중림동",5696.583333,2427.333333,-1470.63384469458
"관악구","중앙동",8862.833333,5530.25,1632.28282230542
"중랑구","중화1동",8830.166667,3034.583333,-863.383844694576
"중랑구","중화2동",14292.41667,7106.166667,3208.19948930542
"은평구","증산동",6928.416667,2398.916667,-1499.05051069458
"은평구","진관동",20049.16667,5074.25,1176.28282230542
"도봉구","창1동",10902,3389.583333,-508.383844694576
"도봉구","창2동",12380.75,3548.083333,-349.883844694576
"도봉구","창3동",6668.25,2471.083333,-1426.88384469458
"도봉구","창4동",10562.33333,2642.083333,-1255.88384469458
"도봉구","창5동",9890.5,2491.083333,-1406.88384469458
"종로구","창신1동",3018.5,1766.5,-2131.46717769458
"종로구","창신2동",4221.916667,1951.333333,-1946.63384469458
"종로구","창신3동",2876.666667,847.4166667,-3050.55051099458
"서대문구","천연동",8314.583333,3314.583333,-583.383844694576
"강동구","천호1동",12923.5,5026.833333,1128.86615530542
"강동구","천호2동",17583,8271.833333,4373.86615530542
"강동구","천호3동",13454.41667,6208,2310.03282230542
"중구","청구동",6455.166667,2439.583333,-1458.38384469458
"강남구","청담동",12239.16667,4373.5,475.532822305424
"동대문구","청량리동",10520.66667,4825.166667,927.199489305425
"관악구","청룡동",17874.16667,12402.33333,8504.36615230542
"관악구","청림동",6606.916667,1957.5,-1940.46717769458
"종로구","청운효자동",5416.916667,1940.416667,-1957.55051069458
"용산구","청파동",10594.58333,5931.166667,2033.19948930542
"서대문구","충현동",8807.5,4342.5,444.532822305424
"종로구","평창동",7576,2464,-1433.96717769458
"송파구","풍납1동",6867.166667,2553.916667,-1344.05051069458
"송파구","풍납2동",10403.08333,3730.083333,-167.883844694576
"중구","필동",2266.333333,1392.083333,-2505.88384469458
"노원구","하계1동",12333.33333,4599.583333,701.616155305424
"노원구","하계2동",8349.583333,1553.333333,-2344.63384469458
"용산구","한강로동",9368.166667,5232.166667,1334.19948930542
"용산구","한남동",10946.58333,5946.416667,2048.44948930542
"마포구","합정동",9592.916667,4843.166667,945.199489305425
"성동구","행당1동",6801.083333,2847,-1050.96717769458
"성동구","행당2동",9481.25,2312.333333,-1585.63384469458
"관악구","행운동",16667.08333,9948.916667,6050.94948930542
"종로구","혜화동",9134.25,5321,1423.03282230542
"서대문구","홍은1동",9771.75,3243.416667,-654.550510694576
"서대문구","홍은2동",12473.75,4675.833333,777.866155305424
"서대문구","홍제1동",9565,3193.833333,-704.133844694576
"서대문구","홍제2동",5840.666667,1640.583333,-2257.38384469458
"서대문구","홍제3동",7126.333333,2591.166667,-1306.80051069458
"강서구","화곡1동",25569.58333,11268.41667,7370.44949230542
"강서구","화곡2동",8249.333333,2706.833333,-1191.13384469458
"강서구","화곡3동",9167.333333,2974.166667,-923.800510694576
"강서구","화곡4동",9792.5,3514.916667,-383.050510694576
"강서구","화곡6동",10924.16667,4376.583333,478.616155305424
"강서구","화곡8동",11548,4124.75,226.782822305424
"강서구","화곡본동",16070.58333,6367.25,2469.28282230542
"광진구","화양동",15258.75,11691.25,7793.28282230542
"중구","황학동",6417.25,3365.833333,-532.133844694576
"동대문구","회기동",5891.083333,3691.666667,-206.300510694576
"중구","회현동",3270.25,2235.416667,-1662.55051069458
"용산구","효창동",3757.083333,1329,-2568.96717769458
"용산구","후암동",8531.75,3927.5,29.5328223054244
"동대문구","휘경1동",6854.75,3815.333333,-82.6338446945756
"동대문구","휘경2동",11148.41667,4932.916667,1034.94948930542
"동작구","흑석동",13055.91667,5184.416667,1286.44948930542
